pws_id,pws_name,epa_region_code,primacy_agency,pws_type,owner_type,primary_source,activity_status,season_end_date,population,rule_name,violation_code,violation_type,violation_category,health_based,contaminant,season_start_date,last_reported,submission_quarter,return_to_compliance_date,contaminant_code,submission_year,major_violation,connections,first_reported,submission_year.1
NE3121399,MASTERHAND MILLING,Region 7,Nebraska,NTNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42643.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3120511,SUPER SAVER 4,Region 7,Nebraska,TNCWS,State,Purchased ground water under influence of surface water source,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3121348,PARKERS SMOKEHOUSE ASHLAND,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42552,42643.0,Returned to Compliance,42961.0,SOX,State Compliance achieved,,,1,42712
NE3120144,PRAIRIE OASIS RV PARK LLC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42552,42643.0,Returned to Compliance,43256.0,SOX,State Compliance achieved,,,1,42712
NE3150015,PLAINVIEW COUNTRY CLUB,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42552,42643.0,Returned to Compliance,42787.0,SOX,State Compliance achieved,,,1,42712
NE3120426,FILLMORE COUNTY RECREATION ASSOCIATION,Region 7,Nebraska,TNCWS,State,Ground water,Active,,30,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,42552,42643.0,Returned to Compliance,43138.0,SOX,State Compliance achieved,,,1,42712
NE3120901,HOOKS LAKE BAR,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,42552,42916.0,Returned to Compliance,43194.0,SOX,State Compliance achieved,Y,,3,43004
NE3150152,CHADRON STATE PARK - NG & PC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,100,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,42552,42916.0,Returned to Compliance,43194.0,SOX,State Compliance achieved,Y,,3,43004
NE3118704,"BRADSHAW, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,273,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3108306,"ORLEANS, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,239,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3120305,SCOTTS BLUFF CO SID 10 - WILDCAT HILLS,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3112704,"BROWNVILLE, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water purchased,Active,,132,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42712
NE3101906,"KEARNEY, CITY OF",Region 7,Nebraska,CWS,State,Groundwater under influence of surface water,Active,,33790,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,42552,42643.0,Returned to Compliance,42682.0,SIF,State Public Notification received,,,2,42906
NE3103505,"EDGAR, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,498,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42552,42643.0,Known,,SIF,State Public Notification received,,,1,42712
NE3109502,"STEELE CITY, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,60,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42552,42643.0,Known,,SIF,State Public Notification received,,,1,42712
NE3105108,"MARTINSBURG, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,94,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,42552,42643.0,Known,,SIF,State Public Notification received,,,2,42712
NE3110705,"CREIGHTON, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1154,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42552,42643.0,Returned to Compliance,42611.0,SOX,State Compliance achieved,,,1,42712
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42552,42643.0,Returned to Compliance,43075.0,SOX,State Compliance achieved,,,1,42712
NE3100101,"HASTINGS, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,25152,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,42552,42643.0,Returned to Compliance,43038.0,SOX,State Compliance achieved,,,1,42712
NE3103304,"LODGEPOLE, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,318,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42552,42643.0,Returned to Compliance,42984.0,SOX,State Compliance achieved,,,2,42712
NE3114106,COLLEGE VIEW PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42552,42643.0,Returned to Compliance,43341.0,SOX,State Compliance achieved,,,2,42712
NE3102901,"WAUNETA, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,543,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42552,42643.0,Returned to Compliance,44433.0,SOX,State Compliance achieved,,,2,42712
NE3114505,"LEBANON, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,58,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42552,42643.0,Returned to Compliance,43138.0,SOX,State Compliance achieved,,,2,42712
NE3115313,"PAPILLION, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,35000,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,42552,42643.0,Returned to Compliance,42852.0,SOX,State Compliance achieved,,,2,42712
NE3108904,"ONEILL, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,3705,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,43104.0,SOX,State Compliance achieved,,,1,42712
NE3105306,GREEN ACRES MOBILE HOME PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,250,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42712
NE3120683,OZZIES I 80,Region 7,Nebraska,TNCWS,State,Ground water,Active,,100,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42643.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3121446,"RAVENNA DNP X, LLC (DOLLAR GENERAL)",Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42643.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3121120,MASKENTHINE LAKE RECREATION AREA,Region 7,Nebraska,TNCWS,State,Ground water,Active,,150,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3150457,BUFFALO BILL RNCH SHP&SRA (NON-SEASONAL),Region 7,Nebraska,TNCWS,State,Ground water,Active,,205,Revised Total Coliform Rule,2A,"Treatment Technique, Level 1 Assessment (RTCR)",TT,Y,Revised Total Coliform Rule,42552,,Returned to Compliance,42977.0,SOX,State Compliance achieved,,,2,42712
NE3120163,CAMP LUTHER OF NEBRASKA INC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,26,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42552,42582.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42712
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Ground Water Rule,20,Failure to Consult with State,Other,N,Groundwater Rule,42546,,Returned to Compliance,42676.0,SOX,State Compliance achieved,,,3,42712
NE3120017,BLUE WATER SERVICES LLC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Ground Water Rule,20,Failure to Consult with State,Other,N,Groundwater Rule,42538,,Returned to Compliance,42493.0,SIF,State Public Notification received,,,3,42712
NE3120024,OTTER CREEK LODGE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,150,Ground Water Rule,20,Failure to Consult with State,Other,N,Groundwater Rule,42538,,Returned to Compliance,42928.0,SOX,State Compliance achieved,,,3,42712
NE3110107,NORTH SHORE LODGE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,500,Ground Water Rule,20,Failure to Consult with State,Other,N,Groundwater Rule,42532,,Returned to Compliance,42682.0,SIF,State Public Notification received,,,3,42712
NE3115701,"TERRYTOWN, CITY OF",Region 7,Nebraska,CWS,State,Ground water purchased,Active,,1143,Revised Total Coliform Rule,2A,"Treatment Technique, Level 1 Assessment (RTCR)",TT,Y,Revised Total Coliform Rule,42522,,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,2,42642
NE3120695,HARLAN RESERVOIR (HUNTERS COVE),Region 7,Nebraska,TNCWS,State,Ground water,Active,,100,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42522,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3120011,KINGSLEY DAM RESORT LLC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,40,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42522,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42642
NE3121117,BAYSIDE GOLF,Region 7,Nebraska,TNCWS,State,Ground water,Active,,50,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42522,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42642
NE3114106,COLLEGE VIEW PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Revised Total Coliform Rule,2A,"Treatment Technique, Level 1 Assessment (RTCR)",TT,Y,Revised Total Coliform Rule,42522,,Returned to Compliance,43159.0,SOX,State Compliance achieved,,,2,42642
NE3121416,BOOGAARTS FOOD STORE,Region 7,Nebraska,TNCWS,State,Ground water purchased,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42522,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3120696,HARLAN RESERVOIR (METHODIST COVE),Region 7,Nebraska,TNCWS,State,Ground water,Active,,120,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42522,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3104712,RICH MOBILE HOME COURT,Region 7,Nebraska,CWS,State,Ground water,Active,,59,Ground Water Rule,20,Failure to Consult with State,Other,N,Groundwater Rule,42502,,Returned to Compliance,42681.0,SOX,State Compliance achieved,,,3,42712
NE3121117,BAYSIDE GOLF,Region 7,Nebraska,TNCWS,State,Ground water,Active,,50,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42958.0,SOX,State Compliance achieved,Y,,3,42642
NE3150465,FAIRPLAY GOLF COURSE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3121407,MERIDIAN BRIDGE R. V. RESORT,Region 7,Nebraska,TNCWS,State,Surface water purchased,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42914.0,SIF,State Public Notification received,Y,,3,42642
NE3120511,SUPER SAVER 4,Region 7,Nebraska,TNCWS,State,Purchased ground water under influence of surface water source,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3120093,CAMP CALVIN CREST,Region 7,Nebraska,TNCWS,State,Ground water,Active,,40,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42642
NE3101502,"BRISTOW, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water purchased,Active,,65,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42642
NE3120011,KINGSLEY DAM RESORT LLC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,40,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42958.0,SOX,State Compliance achieved,Y,,3,42712
NE3121400,RIVERVIEW PARK RESORT & MARINA LLC,Region 7,Nebraska,TNCWS,State,Surface water purchased,Active,,228,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42491,42521.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3120453,GARYS SUPER FOODS MCCOOK NE,Region 7,Nebraska,TNCWS,State,Ground water purchased,Active,,25,Ground Water Rule,20,Failure to Consult with State,Other,N,Groundwater Rule,42465,,Returned to Compliance,42493.0,SIF,State Public Notification received,,,3,42642
NE3120620,PATTERSON HARBOR RESORT AND MARINA,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3121446,"RAVENNA DNP X, LLC (DOLLAR GENERAL)",Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3121295,CORNER STOP ENTERPRISES INC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,155,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3120527,ALDA GIT N SPLIT #33,Region 7,Nebraska,TNCWS,State,Ground water,Active,,465,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3121431,"DESOTO PARK ESTATES, INC",Region 7,Nebraska,TNCWS,State,Surface water purchased,Active,,25,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3121429,COTTONWOOD TERRACE,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,562,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42490.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3121429,COTTONWOOD TERRACE,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,562,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42461,,Returned to Compliance,42940.0,SOX,State Compliance achieved,,,2,43356
NE3121429,COTTONWOOD TERRACE,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,562,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42461,,Returned to Compliance,42940.0,SOX,State Compliance achieved,,,2,43356
NE3121429,COTTONWOOD TERRACE,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,562,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42461,,Returned to Compliance,42940.0,SOX,State Compliance achieved,,,2,43356
NE3121429,COTTONWOOD TERRACE,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,562,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42461,,Returned to Compliance,42940.0,SOX,State Compliance achieved,,,2,43356
NE3121429,COTTONWOOD TERRACE,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,562,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42461,,Returned to Compliance,42940.0,SOX,State Compliance achieved,,,2,43356
NE3120303,CEDAR-KNOX RURAL WATER PROJECT,Region 7,Nebraska,CWS,State,Surface water,Active,,2483,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,42461,42551.0,Returned to Compliance,43330.0,SOX,State Compliance achieved,,,2,42642
NE3121166,"MIDWEST RENEWABLE ENERGY, LLC",Region 7,Nebraska,NTNCWS,State,Ground water,Active,,38,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,42461,42551.0,Returned to Compliance,43194.0,SOX,State Compliance achieved,Y,,3,42642
NE3121166,"MIDWEST RENEWABLE ENERGY, LLC",Region 7,Nebraska,NTNCWS,State,Ground water,Active,,38,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42551.0,Returned to Compliance,43052.0,SOX,State Compliance achieved,Y,,3,42642
NE3150655,REINKE MANUFACTURING COMPANY INC,Region 7,Nebraska,NTNCWS,State,Ground water,Active,,430,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42551.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3120144,PRAIRIE OASIS RV PARK LLC,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42461,42551.0,Returned to Compliance,43256.0,SOX,State Compliance achieved,,,1,42642
NE3121442,DOLLAR GENERAL STORE - HUMPHREY,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,42461,42551.0,Returned to Compliance,43453.0,SOX,State Compliance achieved,,,1,42642
NE3120645,ONEILL COUNTRY CLUB,Region 7,Nebraska,TNCWS,State,Ground water,Active,,200,Nitrate Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Nitrate-Nitrite,42461,42551.0,Returned to Compliance,43138.0,SOX,State Compliance achieved,,,1,42642
NE3120783,CATFISH LAKE AT THE LODGE,Region 7,Nebraska,TNCWS,State,Ground water,Active,,25,Nitrate Rule,3,"Monitoring, Regular",MR,N,Nitrate-Nitrite,42461,42551.0,Returned to Compliance,43157.0,SOX,State Compliance achieved,Y,,3,43004
NE3114505,"LEBANON, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,58,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42490.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3109302,"FARWELL, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,124,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42490.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,Y,,3,42642
NE3102511,"MURDOCK, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water purchased,Active,,275,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,42461,42490.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42642
NE3103505,"EDGAR, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,498,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42461,42551.0,Known,,SFL,State Administrative/Compliance Order without penalty issued,,,1,42642
NE3118706,"YORK, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,7832,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42461,42551.0,Returned to Compliance,42598.0,SIF,State Public Notification received,,,2,42642
NE3105108,"MARTINSBURG, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,94,Radionuclides and Revised Rad Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Combined Uranium,42461,42551.0,Known,,SIF,State Public Notification received,,,2,42642
NE3114106,COLLEGE VIEW PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,42461,42490.0,Returned to Compliance,42914.0,SIF,State Public Notification received,Y,,3,42642
NE3120372,"PROSSER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,76,Nitrate Rule,1,"Maximum Contaminant Level Violation, Single Sample",MCL,Y,Nitrate-Nitrite,42461,42551.0,Returned to Compliance,43075.0,SOX,State Compliance achieved,,,1,42642
NE3114103,"HUMPHREY, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,842,Inorganic Chemicals,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Selenium,42461,42551.0,Returned to Compliance,42794.0,SOX,State Compliance achieved,,,2,42642
NE3103903,"WISNER, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,1239,Inorganic Chemicals,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Selenium,42461,42551.0,Returned to Compliance,42648.0,SOX,State Compliance achieved,,,2,42642
NE3103304,"LODGEPOLE, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,318,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42461,42551.0,Returned to Compliance,42984.0,SOX,State Compliance achieved,,,2,42642
NE3114106,COLLEGE VIEW PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42461,42551.0,Returned to Compliance,43341.0,SOX,State Compliance achieved,,,2,42642
NE3102901,"WAUNETA, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,543,Arsenic Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,Arsenic,42461,42551.0,Returned to Compliance,44433.0,SOX,State Compliance achieved,,,2,42642
NE3104708,"LEXINGTON, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,10230,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42449,,Returned to Compliance,43028.0,SOX,State Compliance achieved,,,2,43356
NE3104708,"LEXINGTON, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,10230,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42449,,Returned to Compliance,43249.0,SOX,State Compliance achieved,,,2,43356
NE3104708,"LEXINGTON, CITY OF",Region 7,Nebraska,CWS,State,Ground water,Active,,10230,Ground Water Rule,45,Failure To Address Deficiency,TT,Y,Groundwater Rule,42449,,Returned to Compliance,43249.0,SOX,State Compliance achieved,,,2,43356
NE3102522,CUMING CO RWD 1,Region 7,Nebraska,CWS,State,Ground water,Active,,1875,Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),42430,42460.0,Returned to Compliance,42825.0,SOX,State Compliance achieved,,,2,42536
NE3102304,"BRAINARD, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,361,Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),42430,42460.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,2,42536
NE3102304,"BRAINARD, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,361,Total Coliform Rule,21,"Maximum Contaminant Level Violation, Acute (TCR)",MCL,Y,Coliform (TCR),42430,42460.0,Returned to Compliance,42914.0,SOX,State Compliance achieved,,,1,42536
NE3120305,SCOTTS BLUFF CO SID 10 - WILDCAT HILLS,Region 7,Nebraska,CWS,State,Ground water,Active,,150,Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),42430,42460.0,Returned to Compliance,42825.0,SOX,State Compliance achieved,,,2,42536
NE3101904,SUNSET VIEW MOBILE HOME PARK,Region 7,Nebraska,CWS,State,Ground water,Active,,115,Total Coliform Rule,23,"Monitoring, Routine Major (TCR)",MR,N,Coliform (TCR),42430,42460.0,Returned to Compliance,42825.0,SOX,State Compliance achieved,,,3,42536
NE3111907,COUNTRY VILLAGE MOBILE HOME PARK,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,255,Total Coliform Rule,23,"Monitoring, Routine Major (TCR)",MR,N,Coliform (TCR),42430,42460.0,Returned to Compliance,43194.0,SOX,State Compliance achieved,,,3,42536
NE3121429,COTTONWOOD TERRACE,Region 7,Nebraska,CWS,State,Ground water purchased,Active,,562,Total Coliform Rule,23,"Monitoring, Routine Major (TCR)",MR,N,Coliform (TCR),42430,42460.0,Returned to Compliance,42825.0,SOX,State Compliance achieved,,,3,42536
NE3117502,"NORTH LOUP, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water purchased,Active,,297,Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),42430,42460.0,Returned to Compliance,42825.0,SOX,State Compliance achieved,,,2,42536
NE3101505,"NAPER, VILLAGE OF",Region 7,Nebraska,CWS,State,Ground water,Active,,100,Total Coliform Rule,22,"Maximum Contaminant Level Violation, Monthly (TCR)",MCL,Y,Coliform (TCR),42430,42460.0,Returned to Compliance,42825.0,SOX,State Compliance achieved,,,2,42536
